,Area,BBoxX,BBoxY,Orientation,Type_o_Object
53,576407,1515,880,1.021969738,1
54,446377,935,784,1.163510616,1
56,561695,1184,876,-0.211699975,1
57,420189,909,704,1.195441273,1
58,448307,914,745,1.422821904,1
60,472911,786,782,0.719294085,1
61,493017,815,823,-0.170603415,1
62,334641,737,665,-0.965308217,1
64,502309,820,824,-0.23661459,1
65,362138,719,736,-0.444046494,1
66,500335,811,800,0.741261221,1
68,381460,762,794,-0.317216862,1
70,453819,896,875,-1.235350699,1
71,352051,1067,679,1.238458283,1
72,210927,675,472,1.507477503,1
75,339904,738,722,0.210736177,1
76,386034,754,853,0.169389176,1
77,318715,714,675,-0.212452688,1
78,329509,697,714,0.020821638,1
79,378642,763,752,-0.090923597,1
80,323451,677,713,-0.331947457,1
81,298515,682,631,-0.836077015,1
83,306372,719,735,-0.752263087,1
84,331762,826,623,-1.550676405,1
85,391512,687,769,-0.093483906,1
88,325307,816,620,-1.554348228,1
89,386536,684,768,-0.121281892,1
92,271537,621,588,-1.248560381,1
94,343976,707,683,-0.806663672,1
96,359875,732,743,0.005214452,1
97,389392,711,726,-0.367764784,1
101,100390,1090,179,1.569024638,1
103,285138,695,588,1.31192493,1
106,484019,937,808,1.536465249,1
107,495433,822,792,0.781749044,1
109,511943,956,816,1.159517015,1
112,499653,878,839,-0.920919661,1
114,292877,681,682,-0.686310247,1
118,403132,712,731,-0.164052197,1
120,383311,697,736,0.03122472,1
128,354594,1583,414,1.480992034,1
129,385598,1186,729,1.537707063,1
0,942887,1786,687,1.54297174,2
1,479653,1716,434,1.55057708,2
2,700424,1917,506,1.528088222,2
3,329763,1856,299,1.541152977,2
4,127791,1026,238,-1.544188914,2
5,534381,1206,648,1.380285274,2
6,273996,1051,398,1.458956087,2
7,424331,1191,529,1.477217038,2
9,208884,1051,296,1.506255378,2
10,306382,1071,393,1.470010204,2
12,278458,1303,333,1.458683494,2
13,110117,1071,183,1.518664969,2
14,244778,1277,434,1.397586408,2
15,145650,1308,173,-1.542543785,2
16,151517,1233,205,-1.546537967,2
17,271421,1465,303,1.560221294,2
22,522093,1582,537,-1.567678409,2
24,155051,1516,218,1.514690167,2
25,184531,1086,242,1.554478893,2
26,261733,1392,294,1.525131397,2
29,148727,1110,199,-1.554313736,2
32,286339,1363,335,1.529686688,2
33,249346,1356,304,1.526401187,2
34,228615,1281,296,1.523999407,2
37,594813,992,754,1.551724965,2
38,322615,1528,473,1.42191197,2
39,591856,1615,770,1.282909887,2
40,469105,1112,626,1.453600138,2
42,409876,1593,548,1.433902735,2
43,277927,991,370,1.498492059,2
44,323868,1637,420,-1.563053386,2
46,182461,1001,283,-1.54405361,2
47,530476,1692,674,1.360520135,2
48,384263,1036,538,1.470807302,2
49,324566,1660,426,1.465226861,2
51,224366,1023,333,1.501160011,2
82,224457,1348,283,1.540874937,2
91,153935,1136,232,-1.550923183,2
93,214538,1031,362,-1.459702897,2
98,214337,1100,309,1.537725712,2
102,238244,1244,298,1.551193812,2
104,399911,1593,446,1.550485446,2
105,135194,1200,225,-1.555216674,2
108,156172,1237,220,-1.568966925,2
110,549832,1422,642,1.54270799,2
111,833268,1410,927,1.357630185,2
113,447793,1114,584,1.4083054,2
115,156285,1069,208,1.521336829,2
117,353795,1583,436,1.471530113,2
119,747896,1111,883,1.328816209,2
121,371158,1155,426,1.522903557,2
124,502976,1537,602,1.454094813,2
125,156301,1103,237,1.547810457,2
18,829586,1605,826,1.345611557,4
41,191936,1630,302,1.477073323,4
63,484171,793,782,1.144635273,4
74,421825,763,866,0.129184427,4
87,211771,1345,287,1.524611106,4
100,375427,697,693,1.256019648,4
